ID_ESTACION_PUBLICO_ESPECIFICO,TIPO_ESTACIONAMENTO,DESTINACAO_ESPECIFICA,DIA_REGRA_OPERACAO,PERIODO_VALIDO_REGRA_OPERACAO,NUMERO_VAGAS_FISICAS,NUMERO_VAGAS_ROTATIVAS,TEMPO_PERMANENCIA,TIPO_LOGRADOURO,LOGRADOURO,REFERENCIA_LOGRADOURO,DESC_TIPO_DESTINACAO,GEOMETRIA
3404,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,12,60,1 HORA(S),AVENIDA,DO CONTORNO,ENTRE RUA CLAUDIO MANOEL E RUA GONCALVES DIAS,MOTOFRETE,POINT (612493.4 7795376)
3405,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,14,140,1 HORA(S),AVENIDA,GETULIO VARGAS,ENTRE RUA BERNARDO GUIMARAES E RUA PIAUI,MOTOFRETE,POINT (612290.94 7795517)
3405,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,14,70,1 HORA(S),AVENIDA,GETULIO VARGAS,ENTRE RUA BERNARDO GUIMARAES E RUA PIAUI,MOTOFRETE,POINT (612290.94 7795517)
3413,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,9,90,1 HORA(S),AVENIDA,RAJA GABAGLIA,ENTRE RUA CACHOEIRA DE MINAS E RUA PROFESSOR BARONI,MOTOFRETE,POINT (609162.5 7794329)
3413,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,9,45,1 HORA(S),AVENIDA,RAJA GABAGLIA,ENTRE RUA CACHOEIRA DE MINAS E RUA PROFESSOR BARONI,MOTOFRETE,POINT (609162.5 7794329)
4788,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,7,70,1 HORA(S),AVENIDA,RAJA GABAGLIA,ENTRE RUA TREZE DE SETEMBRO E RUA RADIANTE,MOTOFRETE,POINT (608851.56 7793311.5)
4788,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,7,35,1 HORA(S),AVENIDA,RAJA GABAGLIA,ENTRE RUA TREZE DE SETEMBRO E RUA RADIANTE,MOTOFRETE,POINT (608851.56 7793311.5)
3372,56,MOTOFRETE,SEGUNDA A SEXTA,08:00 ÀS 18:00 H ,8,80,1 HORA(S),RUA,RIO GRANDE DO SUL,ENTRE RUA BERNARDO GUIMARAES E RUA GONCALVES DIAS,MOTOFRETE,POINT (610115.7 7796165)
3372,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,8,40,1 HORA(S),RUA,RIO GRANDE DO SUL,ENTRE RUA BERNARDO GUIMARAES E RUA GONCALVES DIAS,MOTOFRETE,POINT (610115.7 7796165)
3379,76,MOTOFRETE,SÁBADO,08:00 ÀS 13:00 H ,9,45,1 HORA(S),RUA,DESEMBARGADOR JORGE FONTANA,ENTRE RUA MAESTRO ARTHUR BOSMANS E RUA SEBASTIAO FABIANO DIAS,MOTOFRETE,POINT (610494.3 7790799)
