ID_EDESP;TIPO_ESTACIONAMENTO;DESTINACAO_ESPECIFICA;DIA_REGRA_OPERACAO;PERIODO_VALIDO_REGRA_OPERACAO;NUMERO_VAGAS_FISICAS;NUMERO_VAGAS_ROTATIVAS;TEMPO_PERMANENCIA;TIPO_LOGRADOURO;LOGRADOURO;REFERENCIA_LOGRADOURO;BAIRRO;GEOMETRIA
787;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;8;40;1 HORA(S);RUA;DOS TIMBIRAS;ENTRE RUA PARACATU E AVE BARBACENA;BARRO PRETO;POINT (609633.67 7796629.40)
812;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;8;80;1 HORA(S);AVENIDA;GETULIO VARGAS;ENTRE RUA ALAGOAS E AVE DO CONTORNO;SAVASSI;POINT (611101.09 7794853.90)
813;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;8;40;1 HORA(S);AVENIDA;GETULIO VARGAS;ENTRE RUA ALAGOAS E AVE DO CONTORNO;SAVASSI;POINT (611101.09 7794853.90)
819;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;14;140;1 HORA(S);AVENIDA;OLEGARIO MACIEL;ENTRE RUA FELIPE DOS SANTOS E AVE DO CONTORNO;SANTO AGOSTINHO;POINT (610041.19 7795409.00)
820;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;14;70;1 HORA(S);AVENIDA;OLEGARIO MACIEL;ENTRE RUA FELIPE DOS SANTOS E AVE DO CONTORNO;SANTO AGOSTINHO;POINT (610041.19 7795409.00)
841;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;5;50;1 HORA(S);RUA;EDGARD COELHO;ENTRE RUA PROFESSOR ESTEVAO PINTO E RUA JOSE BENTO SALLES;SERRA;POINT (612562.30 7795268.17)
842;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;5;25;1 HORA(S);RUA;EDGARD COELHO;ENTRE RUA PROFESSOR ESTEVAO PINTO E RUA JOSE BENTO SALLES;SERRA;POINT (612562.30 7795268.17)
861;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;10;50;1 HORA(S);RUA;MATO GROSSO;ENTRE AVE AUGUSTO DE LIMA E RUA DOS GUAJAJARAS;BARRO PRETO;POINT (610108.95 7796686.23)
862;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;10;100;1 HORA(S);RUA;MATO GROSSO;ENTRE AVE AUGUSTO DE LIMA E RUA DOS GUAJAJARAS;BARRO PRETO;POINT (610108.95 7796686.23)
865;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;14;140;1 HORA(S);RUA;CURITIBA;ENTRE AVE AUGUSTO DE LIMA E RUA DOS GUAJAJARAS;CENTRO;POINT (610669.22 7796618.80)
866;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;14;70;1 HORA(S);RUA;CURITIBA;ENTRE AVE AUGUSTO DE LIMA E RUA DOS GUAJAJARAS;CENTRO;POINT (610669.22 7796618.80)
1220;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;9;90;1 HORA(S);RUA;PROFESSOR MORAES;ENTRE RUA TOME DE SOUZA E RUA ANTONIO DE ALBUQUERQUE;SAVASSI;POINT (611827.23 7794977.75)
1221;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;9;45;1 HORA(S);RUA;PROFESSOR MORAES;ENTRE RUA TOME DE SOUZA E RUA ANTONIO DE ALBUQUERQUE;SAVASSI;POINT (611827.23 7794977.75)
1237;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;12;120;1 HORA(S);RUA;MARIA LUIZA SANTIAGO;ENTRE ROD BR TREZENTOS E CINQUENTA E SEIS E RUA MARIA LUIZA SANTIAGO;SANTA LÚCIA;POINT (610057.71 7790863.61)
1238;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;12;60;1 HORA(S);RUA;MARIA LUIZA SANTIAGO;ENTRE ROD BR TREZENTOS E CINQUENTA E SEIS E RUA MARIA LUIZA SANTIAGO;SANTA LÚCIA;POINT (610057.71 7790863.61)
1010;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;6;60;1 HORA(S);RUA;CEARA;ENTRE RUA DOMINGOS VIEIRA E RUA ALVARES MACIEL;SANTA EFIGÊNIA;POINT (612426.58 7796684.58)
1011;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;6;30;1 HORA(S);RUA;CEARA;ENTRE RUA DOMINGOS VIEIRA E RUA ALVARES MACIEL;SANTA EFIGÊNIA;POINT (612426.58 7796684.58)
1038;ROTATIVO;MOTOFRETE;SEGUNDA A SEXTA;08:00 ÀS 18:00 H ;28;280;1 HORA(S);AVENIDA;BRASIL;ENTRE RUA PERNAMBUCO E RUA ALAGOAS;BOA VIAGEM;POINT (611560.00 7795806.02)
1039;ROTATIVO;MOTOFRETE;SÁBADO;08:00 ÀS 13:00 H ;28;140;1 HORA(S);AVENIDA;BRASIL;ENTRE RUA PERNAMBUCO E RUA ALAGOAS;BOA VIAGEM;POINT (611560.00 7795806.02)
